filepath,xmin,xmax,ymin,ymax
./Dados/annotations\Cars431.xml,55,343,82,147
./Dados/annotations\Cars432.xml,95,196,258,284
./Dados/annotations\Cars44.xml,18,430,153,271
./Dados/annotations\Cars45.xml,204,280,103,175
./Dados/annotations\Cars46.xml,189,352,193,248
./Dados/annotations\Cars47.xml,6,48,143,161
./Dados/annotations\Cars48.xml,95,286,117,155
./Dados/annotations\Cars49.xml,268,314,171,190
./Dados/annotations\Cars5.xml,226,242,218,240
./Dados/annotations\Cars50.xml,116,525,55,262
./Dados/annotations\Cars51.xml,264,318,141,162
./Dados/annotations\Cars52.xml,226,327,181,210
./Dados/annotations\Cars53.xml,146,260,187,213
./Dados/annotations\Cars54.xml,148,257,61,118
./Dados/annotations\Cars55.xml,143,210,171,208
./Dados/annotations\Cars56.xml,87,339,82,146
./Dados/annotations\Cars57.xml,270,321,162,195
./Dados/annotations\Cars58.xml,154,241,166,187
./Dados/annotations\Cars59.xml,324,375,162,175
./Dados/annotations\Cars6.xml,112,373,114,239
./Dados/annotations\Cars60.xml,45,364,98,159
./Dados/annotations\Cars61.xml,71,198,124,231
./Dados/annotations\Cars62.xml,156,243,110,159
./Dados/annotations\Cars63.xml,54,91,201,226
./Dados/annotations\Cars64.xml,120,325,187,220
./Dados/annotations\Cars65.xml,207,300,200,260
./Dados/annotations\Cars66.xml,144,211,170,202
./Dados/annotations\Cars67.xml,189,328,223,248
./Dados/annotations\Cars68.xml,189,245,142,171
./Dados/annotations\Cars69.xml,77,124,150,175
./Dados/annotations\Cars7.xml,166,206,141,154
./Dados/annotations\Cars70.xml,179,213,115,133
./Dados/annotations\Cars71.xml,254,284,144,152
./Dados/annotations\Cars72.xml,156,255,182,208
./Dados/annotations\Cars73.xml,119,283,22,69
./Dados/annotations\Cars74.xml,115,277,115,153
./Dados/annotations\Cars75.xml,209,218,196,201
./Dados/annotations\Cars76.xml,6,470,114,233
./Dados/annotations\Cars77.xml,229,309,151,178
./Dados/annotations\Cars78.xml,149,249,210,239
./Dados/annotations\Cars79.xml,238,350,363,422
./Dados/annotations\Cars8.xml,204,304,104,134
./Dados/annotations\Cars80.xml,94,279,148,186
./Dados/annotations\Cars81.xml,297,327,100,125
./Dados/annotations\Cars82.xml,190,257,59,77
./Dados/annotations\Cars83.xml,251,326,295,341
./Dados/annotations\Cars84.xml,167,238,201,220
./Dados/annotations\Cars85.xml,86,146,218,235
./Dados/annotations\Cars86.xml,332,447,176,204
./Dados/annotations\Cars87.xml,3,45,205,220
./Dados/annotations\Cars88.xml,168,242,148,171
./Dados/annotations\Cars89.xml,307,345,206,221
./Dados/annotations\Cars9.xml,164,272,224,247
./Dados/annotations\Cars90.xml,77,101,204,225
./Dados/annotations\Cars91.xml,269,317,170,189
./Dados/annotations\Cars92.xml,281,393,185,271
./Dados/annotations\Cars93.xml,347,367,122,132
./Dados/annotations\Cars94.xml,176,251,210,248
./Dados/annotations\Cars95.xml,278,407,182,263
./Dados/annotations\Cars96.xml,133,261,126,160
./Dados/annotations\Cars97.xml,98,297,102,191
./Dados/annotations\Cars98.xml,85,247,196,259
./Dados/annotations\Cars99.xml,70,262,198,271
